X,Y,IsLandslide,geometry
279592.729900002,202972.804900002,1,POINT (279592.729900002 202972.804900002)
277523.506399997,196775.540100001,1,POINT (277523.506399997 196775.540100001)
302944.310900003,231811.638799999,1,POINT (302944.310900003 231811.638799999)
270001.5929,213416.250599999,1,POINT (270001.5929 213416.250599999)
277239.877700001,205733.063299999,1,POINT (277239.877700001 205733.063299999)
305931.935999997,226819.487799998,1,POINT (305931.935999997 226819.487799998)
270047.704300001,213453.808899999,1,POINT (270047.704300001 213453.808899999)
270053.132299997,213602.258499999,1,POINT (270053.132299997 213602.258499999)
270050.686300002,213667.075199999,1,POINT (270050.686300002 213667.075199999)
271979.346500002,212448.032200001,1,POINT (271979.346500002 212448.032200001)
266672.014899999,199768.924600001,1,POINT (266672.014899999 199768.924600001)
300460.975599997,205389.397599999,1,POINT (300460.975599997 205389.397599999)
297318.707000002,205040.496599998,1,POINT (297318.707000002 205040.496599998)
296993.758400001,205369.480599999,1,POINT (296993.758400001 205369.480599999)
300517.986400001,205113.4815,1,POINT (300517.986400001 205113.4815)
301058.217699997,206489.137899999,1,POINT (301058.217699997 206489.137899999)
309606.376699999,214998.569499999,1,POINT (309606.376699999 214998.569499999)
310912.548299998,215675.790100001,1,POINT (310912.548299998 215675.790100001)
311394.8552,215188.2313,1,POINT (311394.8552 215188.2313)
310331.984300002,214936.297600001,1,POINT (310331.984300002 214936.297600001)
303291.605700001,215757.0057,1,POINT (303291.605700001 215757.0057)
296269.931100003,228713.737500001,1,POINT (296269.931100003 228713.737500001)
272198.554099999,212595.0031,1,POINT (272198.554099999 212595.0031)
271755.331500001,213528.664900001,1,POINT (271755.331500001 213528.664900001)
273191.268399999,213253.425099999,1,POINT (273191.268399999 213253.425099999)
267378.01864657,213612.964980901,1,POINT (267378.01864657 213612.964980901)
279579.244199999,202909.467700001,1,POINT (279579.244199999 202909.467700001)
296247.481899999,228672.003899999,1,POINT (296247.481899999 228672.003899999)
293909.478100002,218085.186700001,1,POINT (293909.478100002 218085.186700001)
294042.049999997,218357.054099999,1,POINT (294042.049999997 218357.054099999)
302154.211199999,223446.800799999,1,POINT (302154.211199999 223446.800799999)
299544.2271,232056.324000001,1,POINT (299544.2271 232056.324000001)
297406.575366076,231632.982416316,1,POINT (297406.575366076 231632.982416316)
305455.534900002,232466.445099998,1,POINT (305455.534900002 232466.445099998)
305517.819499999,232452.343800001,1,POINT (305517.819499999 232452.343800001)
305573.038800001,232459.2412,1,POINT (305573.038800001 232459.2412)
300484.553300001,233787.068399999,1,POINT (300484.553300001 233787.068399999)
300827.453599997,233842.304400001,1,POINT (300827.453599997 233842.304400001)
305607.573600002,232509.579,1,POINT (305607.573600002 232509.579)
305705.297300003,232516.479600001,1,POINT (305705.297300003 232516.479600001)
306003.361599997,232649.697000001,1,POINT (306003.361599997 232649.697000001)
305971.809299998,232479.033100002,1,POINT (305971.809299998 232479.033100002)
306223.857799999,232684.973200001,1,POINT (306223.857799999 232684.973200001)
