IsLandslide,Sort_Date,X,Y,geometry,Max_Rainfall_30day,Avg_Rainfall_30day,MapMethod,County,GlobalID,SM_Rate_2,Col_Date,Project,Confidence,OBJECTID,Fatalities,Quad,SM_Rate_1,Slp_Config,SM_Type_2,SM_Mat_1,SM_Mat_2,SM_Type_1,SM_State,Mvmnt_Date,Process_ID
1,2004-09-16 17:00:00,277020.884599999,210096.255199999,POINT (-82.67090000039654 35.58849999977125),147.763,7.5538664,,Buncombe,{1CC71DDD-A855-4EDB-A384-94990F1FB650},,2004-09-23,Geohazards,,58071.0,,Enka,Extremely rapid (>5 m/sec),Road embankment,,Debris,,Flow,,2004-09-16 17:00:00,443.0
1,2004-09-16 17:00:00,268913.230700001,199742.534000002,POINT (-82.75598299989396 35.492502999686124),163.72,8.332733,,Buncombe,{AF4C02BB-30FC-4D98-B38A-B59D296AF4A9},,2008-02-05,Landslide Hazard Mapping,,60880.0,,Cruso,,Road cut,,Debris,,Slide,,2004-09-16 17:00:00,4993.0
1,2004-09-16 17:00:00,276982.017399997,210173.183499999,POINT (-82.67135999990084 35.58918000008341),147.763,7.5538664,,Buncombe,{B94766B1-1124-48A0-87FF-F51686DD28F8},,2004-09-23,Geohazards,,58070.0,,Enka,Extremely rapid (>5 m/sec),Road embankment,,Debris,,Flow,,2004-09-16 17:00:00,442.0
1,2004-09-16 17:00:00,280044.940700002,200164.847800001,POINT (-82.63354099965814 35.50004100043002),158.296,8.3174,,Buncombe,{DE66FDC0-E14B-45B1-B9F6-BCC776BE8C98},,2009-03-23,Landslide Hazard Mapping,,59197.0,,Dunsmore Mountain,Extremely rapid (>5 m/sec),Road cut,,Debris,,Flow,,2004-09-16 17:00:00,5319.0
1,2004-09-16 17:00:00,274155.238200001,196642.305500001,POINT (-82.6969730004102 35.46634999961458),211.26,10.974299,,Buncombe,{9CB57B7B-0852-4A04-AA91-E8B56077D145},,,Landslide Hazard Mapping,,58848.0,,Dunsmore Mountain,Extremely rapid (>5 m/sec),Unmodified,,Debris,,Flow,,2004-09-16 17:00:00,5645.0
1,2004-09-16 17:00:00,276977.151799999,209919.138999999,POINT (-82.67131000026225 35.58688999979305),147.763,7.5538664,,Buncombe,{BC9C311A-753E-4DEB-A5C9-F197FF1939FC},,2004-09-23,Geohazards,,58072.0,,Enka,Extremely rapid (>5 m/sec),Road cut,,Debris,,Flow,,2004-09-16 17:00:00,444.0
1,2004-09-16 17:00:00,270712.609702996,195163.949986,POINT (-82.73426622613597 35.45187182010403),192.526,10.099566,,Buncombe,{DE41599D-A3EF-4028-B2AF-C15A6D5E0834},,2005-10-25,Landslide Hazard Mapping,,58079.0,,Dunsmore Mountain,Extremely rapid (>5 m/sec),Road embankment,,Debris,,Flow,,2004-09-16 17:00:00,452.0
1,2004-09-16 17:00:00,271895.041100003,211471.022599999,POINT (-82.72799400036114 35.59916200004482),149.09,7.578734,,Buncombe,{82DEF1B8-E916-411E-A4EA-0E0365691C9A},,,Landslide Hazard Mapping,,58081.0,,Enka,Extremely rapid (>5 m/sec),Cut slope - Not road related,,Debris,,Flow,,2004-09-16 17:00:00,460.0
1,2005-01-10,311493.540100001,224218.409200001,POINT (-82.29587199990719 35.726617000258535),46.795,2.6099,,Buncombe,{11C3A2BF-384C-4E7D-A2BC-E1BD700DA91F},,2005-01-10,Blue Ridge Parkway,,58023.0,,Montreat,,Road cut,,Debris,,Slide - translational,,,524.0
1,2005-01-10,311465.130500004,224229.676199999,POINT (-82.29618999967778 35.72670999966632),46.795,2.6099,,Buncombe,{1FBCBC6A-DF04-4AA3-80D8-EA65E6716927},Extremely rapid (>5 m/sec),2005-01-10,Blue Ridge Parkway,,58024.0,,Montreat,,Road cut,Flow,Debris,Debris,Slide,,,525.0
1,2005-01-10,309707.939000003,224979.781199999,POINT (-82.31587999946579 35.732940000152276),39.408,2.2263,,Buncombe,{50BEFE2A-33D4-49AB-A4D4-31088A80DEBF},,2005-01-10,Blue Ridge Parkway,,59122.0,,Montreat,,Road embankment,,Debris,,Creep,,,2541.0
