X,Y,OBJECTID,Process_ID,Project,County,Quad,Col_Date,Mvmnt_Date,SM_State,SM_Rate_1,SM_Mat_1,SM_Type_1,SM_Rate_2,SM_Mat_2,SM_Type_2,Slp_Config,Fatalities,Confidence,MapMethod,GlobalID,geometry,Sort_Date,IsLandslide
277205.434,199403.2698,57973.0,343.0,Geohazards,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{146E6F67-BBB2-42EA-AE23-CB49159E0BF7},POINT (277205.434 199403.2698),1977-11-05 06:00:00,1
277152.242899999,199524.0174,57972.0,342.0,Geohazards,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{5D3E12A0-2A1F-440B-9820-7E099B20C6A9},POINT (277152.242899999 199524.0174),1977-11-05 06:00:00,1
280718.0044,193465.979499999,57971.0,397.0,Geohazards,Buncombe,Skyland,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{2BA9E80D-1602-4B23-878D-401F94B3E81A},POINT (280718.0044 193465.979499999),1977-11-05 06:00:00,1
276250.692299999,198746.306899998,57970.0,341.0,Geohazards,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{24DCD034-A328-474D-9738-C987F7154D2A},POINT (276250.692299999 198746.306899998),1977-11-05 06:00:00,1
277504.395499997,198507.358399998,57975.0,345.0,Geohazards,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{026F61F1-003A-4E4E-86B6-E5A7DAD194E7},POINT (277504.395499997 198507.358399998),1977-11-05 06:00:00,1
288963.4943,226803.9998,58172.0,661.0,Landslide Hazard Mapping,Buncombe,Weaverville,1981-03-25,,,,Debris,Slide - rotational,,,,Road embankment,,,,{CD558049-66E5-4595-BB55-AFCDB6035B63},POINT (288963.4943 226803.9998),1981-03-25 00:00:00,1
293471.065200001,216042.260299999,58173.0,662.0,Landslide Hazard Mapping,Buncombe,Craggy Pinnacle,1982-05-25,,,,Debris,Slide - rotational,,Earth,Slide - rotational,Road cut,,,,{C0F5BE0D-6A77-42A4-969C-74646BC49E8A},POINT (293471.065200001 216042.260299999),1982-05-25 00:00:00,1
289777.368199997,230247.398600001,58178.0,667.0,Landslide Hazard Mapping,Buncombe,Mars Hill,1989-07-22,,,,Earth,Slide - translational,,,,Road cut,,,,{C7DED0AC-84B4-4BB1-B1CE-829D5992A0C2},POINT (289777.368199997 230247.398600001),1989-07-22 00:00:00,1
287403.624899998,223755.447500002,58190.0,677.0,Landslide Hazard Mapping,Buncombe,Weaverville,1990-05-22,,,,Rock,Slide,,Debris,Fall,Road cut,,,,{F5D566F9-1D86-46F5-8B34-5D0E88F70D6E},POINT (287403.624899998 223755.447500002),1990-05-22 00:00:00,1
295886.432400003,208999.858100001,58186.0,676.0,Landslide Hazard Mapping,Buncombe,Oteen,1990-05-23,,,,Weathered rock,Slide,,,,Road cut,,,,{8DD9871F-3989-444B-A2C0-09F17D7D900E},POINT (295886.432400003 208999.858100001),1990-05-23 00:00:00,1
303556.827500001,210237.813000001,58184.0,673.0,Landslide Hazard Mapping,Buncombe,Oteen,1990-05-23,,,,Earth,Slide - rotational,,,,Road embankment,,,,{DD2FBB57-01E4-495F-85BB-01EF06D15603},POINT (303556.827500001 210237.813000001),1990-05-23 00:00:00,1
309170.0044,211623.693799999,58183.0,672.0,Landslide Hazard Mapping,Buncombe,Black Mountain,1990-05-23,,,,Weathered rock,Slide - rotational,,,,Road cut,,,,{A2FAA910-F4AC-4EFB-8B85-F1FA703FB312},POINT (309170.0044 211623.693799999),1990-05-23 00:00:00,1
285236.660099998,207087.397999998,58181.0,670.0,Landslide Hazard Mapping,Buncombe,Asheville,1990-05-23,,,,Earth,Slide,,,,Road embankment,,,,{870F1001-23AF-46D0-AF41-771E715F15B6},POINT (285236.660099998 207087.397999998),1990-05-23 00:00:00,1
286450.089000002,222595.9826,58179.0,668.0,Landslide Hazard Mapping,Buncombe,Weaverville,1990-05-23,,,,Debris,Slide,,,,Road embankment,,,,{11782408-4559-404F-A996-AFC686876FB3},POINT (286450.089000002 222595.9826),1990-05-23 00:00:00,1
313888.132600002,200290.027899999,58192.0,679.0,Landslide Hazard Mapping,Buncombe,Black Mountain,1990-06-05,,,,Debris,Slide - rotational,,Earth,Slide - rotational,Road embankment,,,,{CB274BCD-0EF7-49C1-9307-E2E04A1D92BD},POINT (313888.132600002 200290.027899999),1990-06-05 00:00:00,1
313235.048199996,200493.546500001,58191.0,678.0,Landslide Hazard Mapping,Buncombe,Black Mountain,1990-06-05,,,,Earth,Slide - translational,,,,Road embankment,,,,{53F2193A-86AB-425C-8691-9D2CD74BE308},POINT (313235.048199996 200493.546500001),1990-06-05 00:00:00,1
