k,features,Accuracy,Precision,Recall,F1,ROC_AUC,Brier,error,TimeSec
2,"['Max_Rainfall_30day', 'R3d']",0.5016556291390728,0.5018867924528302,0.44039735099337746,0.4691358024691358,0.5094951975790536,0.25015501526007183,,0.0207
3,"['Max_Rainfall_30day', 'R3d', 'R7d']",0.5016556291390728,0.5019157088122606,0.4337748344370861,0.46536412078152756,0.5172141572738038,0.2504618879854131,,0.0219
4,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R3d', 'R7d']",0.5,0.5,0.4370860927152318,0.4664310954063604,0.5149225911144248,0.250753829800803,,0.0238
4,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R1d', 'R7d']",0.5,0.5,0.46357615894039733,0.48109965635738833,0.5102188500504363,0.25040619772866396,,0.023
2,"['R1d', 'R7d']",0.49834437086092714,0.49828178694158076,0.48013245033112584,0.48903878583473864,0.49156835226525153,0.25173998729503855,,0.0212
2,"['Max_Rainfall_30day', 'Max_Rainfall_3day']",0.4966887417218543,0.4963768115942029,0.45364238410596025,0.4740484429065744,0.5131353887987369,0.2497486995928495,,0.0211
4,"['Max_Rainfall_3day', 'R1d', 'R3d', 'R30d']",0.4966887417218543,0.4972677595628415,0.6026490066225165,0.5449101796407185,0.517685627823341,0.25117832783348115,,0.0236
4,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R1d', 'R3d']",0.4966887417218543,0.49673202614379086,0.5033112582781457,0.5,0.4960528047015482,0.25073346265154023,,0.0246
4,"['Max_Rainfall_30day', 'R1d', 'R3d', 'R7d']",0.4917218543046358,0.49070631970260226,0.4370860927152318,0.46234676007005254,0.5110850401298188,0.25066806099867317,,0.0224
5,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R1d', 'R3d', 'R7d']",0.4917218543046358,0.49122807017543857,0.46357615894039733,0.47700170357751276,0.509243015657208,0.2510148348345976,,0.0234
2,"['Max_Rainfall_30day', 'R1d']",0.4900662251655629,0.48695652173913045,0.3708609271523179,0.42105263157894735,0.4888162799877198,0.2506911852382101,,0.0209
3,"['Max_Rainfall_3day', 'R1d', 'R30d']",0.4900662251655629,0.49166666666666664,0.5860927152317881,0.5347432024169184,0.5250427612823999,0.250397044369847,,0.0219
3,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R1d']",0.48509933774834435,0.4847457627118644,0.4735099337748344,0.47906197654941374,0.4988377702732336,0.25008588737960125,,0.0222
3,"['Max_Rainfall_30day', 'R1d', 'R7d']",0.4685430463576159,0.4581497797356828,0.3443708609271523,0.3931947069943289,0.4740471909126792,0.2514406092223778,,0.0213
1,['Max_Rainfall_30day'],0.4602649006622517,0.4423076923076923,0.304635761589404,0.3607843137254902,0.4863054252006491,0.24959678923169745,,0.0326
2,"['Max_Rainfall_30day', 'R7d']",0.4602649006622517,0.4444444444444444,0.31788079470198677,0.37065637065637064,0.46295118635147586,0.2506554396598095,,0.0222
1,['R7d'],0.4552980132450331,0.44621513944223107,0.3708609271523179,0.4050632911392405,0.4554844085785711,0.25094154990790646,,0.0206
